Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Event.Year
20080122X00087,Accident,2008-01-07,"DeLand, FL",United States,Non-Fatal,Substantial,Helicopter,BELL,407,No,1.0,Turbo Shaft,091,,Positioning,Volusia County Sheriff's Department,0.0,0.0,0.0,2.0,VMC,,A total loss of engine power due to the fatigue failure of a third stage turbine wheel blade.,2008.0
20080220X00219,Accident,2008-01-07,"Zuzenhausen, Germany",Germany,Fatal,Destroyed,Helicopter,BELL,206B,No,,,NUSN,,Aerial Observation,LGM Luftfahrtgesellschaft mbH,1.0,1.0,0.0,0.0,IMC,,,2008.0
20080204X00131,Accident,2008-01-08,"Riverside, CA",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R-22,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,The pilot's misjudged landing flare and improper use of the collective control.,2008.0
20080210X00162,Accident,2008-01-08,"North Palm Bch, FL",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R22 BETA,No,1.0,Reciprocating,091,,Instructional,Silver State Helicopters LLC,0.0,0.0,1.0,0.0,VMC,,A loss of engine power due to carburetor icing. Contributing to the accident was unsuitable terrain for a forced landing.,2008.0
20080211X00175,Accident,2008-01-10,"Pitt Meadow, BC, Canada",Canada,Non-Fatal,Substantial,Helicopter,EUROCOPTER FRANCE,AS350B3,No,,,NUSN,,External Load,Prism Helicopters,0.0,0.0,0.0,2.0,,,,2008.0
20080422X00527,Accident,2008-01-11,"Puebla, Mexico",Mexico,Fatal,Destroyed,Helicopter,BELL,412HP,No,,,NUSN,,Unknown,,8.0,0.0,0.0,0.0,VMC,,,2008.0
20080207X00153,Accident,2008-01-13,"La Verna, CA",United States,Non-Fatal,Substantial,Helicopter,BELL,206 B2,No,1.0,Turbo Shaft,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,The pilot's improper preflight planning which resulted in a jammed cyclic control while maneuvering.,2008.0
20080215X00202,Accident,2008-01-15,"Fenner, NY",United States,Non-Fatal,Substantial,Helicopter,ROBINSON,R44 II,No,1.0,Reciprocating,091,,Business,Adkins Aviation,0.0,1.0,0.0,3.0,IMC,,The pilot's delayed decision to perform a precautionary landing.  Contributing to the accident was the reduced visibility in snow and the soft terrain.,2008.0
20080718X01067,Accident,2008-01-18,"Mysore, India",India,Non-Fatal,Substantial,Helicopter,BELL,206-L3,No,,,NUSC,NSCH,,Deccan Aviation,0.0,5.0,0.0,0.0,VMC,,,2008.0
20080128X00108,Accident,2008-01-22,"Ochopee, FL",United States,Fatal,Substantial,Helicopter,ROBINSON,R44,No,1.0,Reciprocating,091,,Personal,Donald S. Mills,2.0,0.0,0.0,0.0,VMC,,The pilot's failure to maintain aircraft control while maneuvering.  Contributing to the accident were a tailwind condition and the pilot's inadequate in-flight planning/decision.,2008.0
